asn1,asn2,asn1RIR,asn2RIR,rel
174,10242,ARIN,ARIN,p2c
174,10700,ARIN,ARIN,p2c
174,11128,ARIN,ARIN,p2c
174,11155,ARIN,ARIN,p2c
174,11389,ARIN,ARIN,p2c
174,11437,ARIN,ARIN,p2c
174,11956,ARIN,ARIN,p2c
174,12963,ARIN,RIPE,p2c
174,13004,ARIN,RIPE,p2c
174,13333,ARIN,ARIN,p2c
174,13363,ARIN,ARIN,p2c
174,13513,ARIN,ARIN,p2c
174,13807,ARIN,ARIN,p2c
174,14103,ARIN,ARIN,p2c
174,14148,ARIN,ARIN,p2c
174,14163,ARIN,ARIN,p2c
174,14575,ARIN,ARIN,p2c
174,14840,ARIN,ARIN,p2c
174,14899,ARIN,ARIN,p2c
174,15191,ARIN,ARIN,p2c
174,15235,ARIN,ARIN,p2c
174,15317,ARIN,ARIN,p2c
174,15504,ARIN,RIPE,p2c
174,15706,ARIN,RIPE,p2c
174,16284,ARIN,RIPE,p2c
174,16363,ARIN,RIPE,p2c
174,16738,ARIN,ARIN,p2c
174,16887,ARIN,ARIN,p2c
174,16970,ARIN,ARIN,p2c
174,17040,ARIN,ARIN,p2c
174,17117,ARIN,ARIN,p2c
174,17355,ARIN,ARIN,p2c
174,18200,ARIN,APNIC,p2c
174,18938,ARIN,ARIN,p2c
174,18961,ARIN,ARIN,p2c
174,19209,ARIN,ARIN,p2c
174,19210,ARIN,ARIN,p2c
174,19429,ARIN,ARIN,p2c
174,19551,ARIN,ARIN,p2p
174,19683,ARIN,ARIN,p2c
174,19787,ARIN,ARIN,p2c
174,19819,ARIN,ARIN,p2c
174,20000,ARIN,ARIN,p2c
174,20007,ARIN,ARIN,p2c
174,20205,ARIN,ARIN,p2c
174,20234,ARIN,ARIN,p2c
174,20324,ARIN,ARIN,p2c
174,20388,ARIN,ARIN,p2c
174,20428,ARIN,ARIN,p2c
174,20495,ARIN,RIPE,p2c
174,20771,ARIN,RIPE,p2c
174,20830,ARIN,RIPE,p2c
174,20878,ARIN,RIPE,p2c
174,21271,ARIN,RIPE,p2c
174,21500,ARIN,RIPE,p2c
174,21515,ARIN,ARIN,p2c
174,21700,ARIN,ARIN,p2c
174,21721,ARIN,ARIN,p2c
174,21979,ARIN,ARIN,p2c
174,22006,ARIN,ARIN,p2c
174,22200,ARIN,ARIN,p2c
174,22458,ARIN,ARIN,p2c
174,22500,ARIN,ARIN,p2c
174,22541,ARIN,ARIN,p2c
174,22566,ARIN,ARIN,p2c
174,22639,ARIN,ARIN,p2c
174,22647,ARIN,ARIN,p2c
174,22663,ARIN,ARIN,p2c
174,22800,ARIN,ARIN,p2c
174,23047,ARIN,ARIN,p2c
174,23109,ARIN,ARIN,p2c
