asn1,asn2,asn1RIR,asn2RIR,rel
2,52685,ARIN,LACNIC,p2c
3,6939,ARIN,ARIN,p2p
3,23248,ARIN,ARIN,p2c
3,41917,ARIN,RIPE,p2p
3,133296,ARIN,APNIC,p2p
3,265301,ARIN,LACNIC,p2c
3,266152,ARIN,LACNIC,p2c
3,266215,ARIN,LACNIC,p2p
5,28599,ARIN,LACNIC,p2c
5,49991,ARIN,RIPE,p2c
5,52352,ARIN,LACNIC,p2p
5,262879,ARIN,LACNIC,p2c
5,265048,ARIN,LACNIC,p2c
5,265316,ARIN,LACNIC,p2c
24,22388,ARIN,ARIN,p2p
34,30641,ARIN,ARIN,p2c
42,1248,ARIN,ARIN,p2p
42,1257,ARIN,ARIN,p2p
42,1403,ARIN,ARIN,p2p
42,3267,ARIN,RIPE,p2p
42,3333,ARIN,RIPE,p2p
42,4323,ARIN,ARIN,p2p
42,4761,ARIN,APNIC,p2p
42,5394,ARIN,RIPE,p2p
42,8282,ARIN,RIPE,p2p
42,8283,ARIN,RIPE,p2p
42,8455,ARIN,RIPE,p2p
42,8477,ARIN,RIPE,p2p
42,8878,ARIN,RIPE,p2p
42,10886,ARIN,ARIN,p2c
42,12519,ARIN,RIPE,p2p
42,12637,ARIN,RIPE,p2p
42,13213,ARIN,RIPE,p2p
42,13896,ARIN,ARIN,p2p
42,14340,ARIN,ARIN,p2p
42,14492,ARIN,ARIN,p2p
42,15008,ARIN,ARIN,p2p
42,15435,ARIN,RIPE,p2p
42,15605,ARIN,RIPE,p2p
42,15623,ARIN,RIPE,p2p
42,16265,ARIN,RIPE,p2p
42,16376,ARIN,RIPE,p2p
42,19281,ARIN,ARIN,p2c
42,20562,ARIN,RIPE,p2p
42,20592,ARIN,RIPE,p2p
42,20799,ARIN,RIPE,p2p
42,21267,ARIN,RIPE,p2p
42,21472,ARIN,RIPE,p2p
42,21556,ARIN,ARIN,p2c
42,23106,ARIN,ARIN,p2p
42,23889,ARIN,APNIC,p2p
42,23939,ARIN,APNIC,p2p
42,25227,ARIN,RIPE,p2p
42,25590,ARIN,RIPE,p2p
42,26415,ARIN,ARIN,p2p
42,27630,ARIN,ARIN,p2p
42,28716,ARIN,RIPE,p2p
42,28797,ARIN,RIPE,p2p
42,29169,ARIN,RIPE,p2p
42,29676,ARIN,RIPE,p2p
42,30132,ARIN,ARIN,p2p
42,30838,ARIN,RIPE,p2p
42,31059,ARIN,RIPE,p2p
42,33438,ARIN,ARIN,p2p
42,34066,ARIN,RIPE,p2p
42,34967,ARIN,RIPE,p2p
42,35028,ARIN,RIPE,p2p
42,35063,ARIN,RIPE,p2p
42,35179,ARIN,RIPE,p2p
42,35228,ARIN,RIPE,p2p
42,35574,ARIN,RIPE,p2p
