asn1,asn2,asn1RIR,asn2RIR,rel
1,133296,ARIN,APNIC,p2p
1,134884,ARIN,APNIC,p2p
1,137615,ARIN,APNIC,p2p
2,3356,ARIN,ARIN,p2p
2,6147,ARIN,ARIN,p2c
2,26862,ARIN,ARIN,p2p
2,36909,ARIN,AFRINIC,p2p
2,37628,ARIN,AFRINIC,p2p
2,60781,ARIN,RIPE,p2c
2,204854,ARIN,RIPE,p2c
2,262387,ARIN,LACNIC,p2p
2,268271,ARIN,LACNIC,p2c
3,6147,ARIN,ARIN,p2c
3,56994,ARIN,RIPE,p2c
3,266961,ARIN,LACNIC,p2c
4,6147,ARIN,ARIN,p2c
4,38315,ARIN,APNIC,p2c
5,266961,ARIN,LACNIC,p2c
8,1700,ARIN,ARIN,p2c
10,131401,ARIN,APNIC,p2c
10,266446,ARIN,LACNIC,p2p
34,30641,ARIN,ARIN,p2c
38,11537,ARIN,ARIN,p2p
42,1140,ARIN,ARIN,p2p
42,3402,ARIN,ARIN,p2p
42,4657,ARIN,APNIC,p2p
42,5769,ARIN,ARIN,p2p
42,6079,ARIN,ARIN,p2p
42,6233,ARIN,ARIN,p2p
42,8732,ARIN,RIPE,p2p
42,11039,ARIN,ARIN,p2p
42,11708,ARIN,ARIN,p2p
42,12337,ARIN,RIPE,p2p
42,13004,ARIN,RIPE,p2p
42,13786,ARIN,ARIN,p2p
42,14840,ARIN,ARIN,p2p
42,15704,ARIN,RIPE,p2p
42,20080,ARIN,ARIN,p2p
42,23367,ARIN,ARIN,p2p
42,24516,ARIN,APNIC,p2p
42,24811,ARIN,RIPE,p2p
42,24875,ARIN,RIPE,p2p
42,24961,ARIN,RIPE,p2p
42,26073,ARIN,ARIN,p2p
42,28186,ARIN,LACNIC,p2p
42,29467,ARIN,RIPE,p2p
42,32354,ARIN,ARIN,p2p
42,34854,ARIN,RIPE,p2p
42,34927,ARIN,RIPE,p2p
42,37721,ARIN,AFRINIC,p2p
42,39533,ARIN,RIPE,p2p
42,40630,ARIN,ARIN,p2p
42,42275,ARIN,RIPE,p2p
42,42473,ARIN,RIPE,p2p
42,42708,ARIN,RIPE,p2p
42,43376,ARIN,RIPE,p2p
42,47950,ARIN,RIPE,p2p
42,48821,ARIN,RIPE,p2p
42,48858,ARIN,RIPE,p2p
42,49420,ARIN,RIPE,p2p
42,50050,ARIN,RIPE,p2p
42,51088,ARIN,RIPE,p2p
42,51873,ARIN,RIPE,p2p
42,51907,ARIN,RIPE,p2p
42,54540,ARIN,ARIN,p2p
42,55222,ARIN,ARIN,p2p
42,55720,ARIN,APNIC,p2p
42,56665,ARIN,RIPE,p2p
42,57199,ARIN,RIPE,p2p
42,57695,ARIN,RIPE,p2p
42,58057,ARIN,RIPE,p2p
42,60474,ARIN,RIPE,p2p
42,61292,ARIN,RIPE,p2p
42,61333,ARIN,RIPE,p2p
42,64475,ARIN,RIPE,p2p
42,131477,ARIN,APNIC,p2p
42,137490,ARIN,APNIC,p2p
42,137831,ARIN,APNIC,p2p
42,196621,ARIN,RIPE,p2p
42,198507,ARIN,RIPE,p2p
42,201785,ARIN,RIPE,p2p
42,204355,ARIN,RIPE,p2p
42,205206,ARIN,RIPE,p2p
42,205593,ARIN,RIPE,p2p
42,206313,ARIN,RIPE,p2p
42,206499,ARIN,RIPE,p2p
42,209152,ARIN,RIPE,p2p
42,209263,ARIN,RIPE,p2p
42,210025,ARIN,RIPE,p2p
42,327983,ARIN,AFRINIC,p2p
42,328137,ARIN,AFRINIC,p2p
42,328474,ARIN,AFRINIC,p2p
46,6939,ARIN,ARIN,p2p
46,46450,ARIN,ARIN,p2p
57,6461,ARIN,ARIN,p2p
57,11537,ARIN,ARIN,p2p
59,11537,ARIN,ARIN,p2p
62,19,ARIN,ARIN,p2c
