asn1,asn2,rel_x,asn1RIR,asn2RIR,rel_y
57,14763,p2c,ARIN,ARIN,p2p
57,17234,p2c,ARIN,ARIN,p2p
57,21727,p2c,ARIN,ARIN,p2p
57,21951,p2c,ARIN,ARIN,p2p
57,26557,p2c,ARIN,ARIN,p2p
57,33692,p2c,ARIN,ARIN,p2p
174,559,p2p,ARIN,ARIN,p2c
174,2200,p2p,ARIN,ARIN,p2c
174,4837,p2c,ARIN,APNIC,p2p
174,6315,p2c,ARIN,ARIN,p2p
174,7219,p2p,ARIN,ARIN,p2c
174,7341,p2c,ARIN,ARIN,p2p
174,7385,p2c,ARIN,ARIN,p2p
174,7738,p2c,ARIN,ARIN,p2p
174,7843,p2p,ARIN,ARIN,p2c
174,8966,p2p,ARIN,RIPE,p2c
174,12181,p2c,ARIN,ARIN,p2p
174,12731,p2p,ARIN,RIPE,p2c
174,13249,p2p,ARIN,RIPE,p2c
174,13649,p2p,ARIN,ARIN,p2c
174,13711,p2c,ARIN,ARIN,p2p
174,13825,p2p,ARIN,ARIN,p2c
174,15704,p2c,ARIN,RIPE,p2p
174,16164,p2c,ARIN,RIPE,p2p
174,16276,p2p,ARIN,RIPE,p2c
174,16347,p2c,ARIN,RIPE,p2p
174,19082,p2c,ARIN,ARIN,p2p
174,20857,p2p,ARIN,RIPE,p2c
174,21219,p2p,ARIN,RIPE,p2c
174,21263,p2p,ARIN,RIPE,p2c
174,21949,p2p,ARIN,ARIN,p2c
174,22781,p2p,ARIN,ARIN,p2c
174,22795,p2c,ARIN,ARIN,p2p
174,23127,p2p,ARIN,ARIN,p2c
174,24679,p2c,ARIN,RIPE,p2p
174,24720,p2c,ARIN,RIPE,p2p
174,24867,p2c,ARIN,RIPE,p2p
174,25180,p2p,ARIN,RIPE,p2c
174,25369,p2p,ARIN,RIPE,p2c
174,26962,p2c,ARIN,ARIN,p2p
174,28716,p2p,ARIN,RIPE,p2c
174,29075,p2c,ARIN,RIPE,p2p
174,29518,p2c,ARIN,RIPE,p2p
174,31252,p2p,ARIN,RIPE,p2c
174,31577,p2p,ARIN,RIPE,p2c
174,32308,p2c,ARIN,ARIN,p2p
174,32621,p2c,ARIN,ARIN,p2p
174,32899,p2p,ARIN,ARIN,p2c
174,33915,p2c,ARIN,RIPE,p2p
174,34270,p2c,ARIN,RIPE,p2p
174,35916,p2c,ARIN,ARIN,p2p
174,36443,p2p,ARIN,ARIN,p2c
174,39392,p2p,ARIN,RIPE,p2c
174,39651,p2p,ARIN,RIPE,p2c
174,39964,p2c,ARIN,ARIN,p2p
174,40702,p2p,ARIN,ARIN,p2c
174,40788,p2c,ARIN,ARIN,p2p
174,42633,p2c,ARIN,RIPE,p2p
174,43338,p2c,ARIN,RIPE,p2p
174,46195,p2c,ARIN,ARIN,p2p
174,47408,p2c,ARIN,RIPE,p2p
174,47544,p2p,ARIN,RIPE,p2c
174,50411,p2c,ARIN,RIPE,p2p
174,51399,p2p,ARIN,RIPE,p2c
174,54961,p2c,ARIN,ARIN,p2p
174,55286,p2p,ARIN,ARIN,p2c
174,197056,p2c,ARIN,RIPE ,p2p
174,197133,p2c,ARIN,RIPE ,p2p
209,13951,p2c,ARIN,ARIN,p2p
209,17444,p2c,ARIN,APNIC,p2p
209,26133,p2c,ARIN,ARIN,p2p
209,35181,p2p,ARIN,RIPE,p2c
260,22363,p2p,ARIN,ARIN,p2c
278,28550,p2p,ARIN,LACNIC,p2c
286,8403,p2p,ARIN,RIPE,p2c
286,8897,p2c,ARIN,RIPE,p2p
286,13005,p2c,ARIN,RIPE,p2p
286,25220,p2c,ARIN,RIPE,p2p
286,42004,p2c,ARIN,RIPE,p2p
286,43350,p2c,ARIN,RIPE,p2p
286,47541,p2p,ARIN,RIPE,p2c
286,47872,p2c,ARIN,RIPE,p2p
293,513,p2p,ARIN,ARIN,p2c
293,3425,p2p,ARIN,ARIN,p2c
306,307,p2p,ARIN,ARIN,p2c
306,316,p2p,ARIN,ARIN,p2c
306,317,p2p,ARIN,ARIN,p2c
306,319,p2p,ARIN,ARIN,p2c
306,320,p2p,ARIN,ARIN,p2c
306,321,p2p,ARIN,ARIN,p2c
306,322,p2p,ARIN,ARIN,p2c
306,323,p2p,ARIN,ARIN,p2c
306,324,p2p,ARIN,ARIN,p2c
306,325,p2p,ARIN,ARIN,p2c
306,326,p2p,ARIN,ARIN,p2c
306,328,p2p,ARIN,ARIN,p2c
306,331,p2p,ARIN,ARIN,p2c
306,332,p2p,ARIN,ARIN,p2c
306,334,p2p,ARIN,ARIN,p2c
306,335,p2p,ARIN,ARIN,p2c
306,337,p2p,ARIN,ARIN,p2c
306,338,p2p,ARIN,ARIN,p2c
306,339,p2p,ARIN,ARIN,p2c
306,340,p2p,ARIN,ARIN,p2c
306,341,p2p,ARIN,ARIN,p2c
306,342,p2p,ARIN,ARIN,p2c
306,343,p2p,ARIN,ARIN,p2c
306,346,p2p,ARIN,ARIN,p2c
306,347,p2p,ARIN,ARIN,p2c
306,348,p2p,ARIN,ARIN,p2c
306,349,p2p,ARIN,ARIN,p2c
306,350,p2p,ARIN,ARIN,p2c
306,351,p2p,ARIN,ARIN,p2c
306,352,p2p,ARIN,ARIN,p2c
306,353,p2p,ARIN,ARIN,p2c
306,355,p2p,ARIN,ARIN,p2c
306,356,p2p,ARIN,ARIN,p2c
306,357,p2p,ARIN,ARIN,p2c
306,360,p2p,ARIN,ARIN,p2c
306,361,p2p,ARIN,ARIN,p2c
306,362,p2p,ARIN,ARIN,p2c
306,364,p2p,ARIN,ARIN,p2c
306,365,p2p,ARIN,ARIN,p2c
306,366,p2p,ARIN,ARIN,p2c
306,368,p2p,ARIN,ARIN,p2c
306,369,p2p,ARIN,ARIN,p2c
306,370,p2p,ARIN,ARIN,p2c
306,371,p2p,ARIN,ARIN,p2c
306,575,p2c,ARIN,ARIN,p2p
553,2857,p2c,ARIN,RIPE,p2p
553,12480,p2p,ARIN,RIPE,p2c
701,1273,p2p,ARIN,ARIN,p2c
701,6507,p2p,ARIN,ARIN,p2c
701,7342,p2p,ARIN,ARIN,p2c
701,14717,p2c,ARIN,ARIN,p2p
701,16524,p2c,ARIN,ARIN,p2p
701,17151,p2c,ARIN,ARIN,p2p
701,22438,p2p,ARIN,ARIN,p2c
703,23148,p2p,ARIN,ARIN,p2c
852,54182,p2p,ARIN,ARIN,p2c
1221,2687,p2p,ARIN,ARIN,p2c
1221,4826,p2p,ARIN,APNIC,p2c
1221,7543,p2p,ARIN,APNIC,p2c
1221,7575,p2p,ARIN,APNIC,p2c
1221,8075,p2p,ARIN,ARIN,p2c
1221,9426,p2p,ARIN,APNIC,p2c
1221,14294,p2p,ARIN,ARIN,p2c
1221,15133,p2p,ARIN,ARIN,p2c
1221,32934,p2p,ARIN,ARIN,p2c
1221,38172,p2c,ARIN,APNIC,p2p
1221,38561,p2p,ARIN,APNIC,p2c
1221,38622,p2p,ARIN,APNIC,p2c
1221,41264,p2p,ARIN,RIPE,p2c
1221,133144,p2p,ARIN,APNIC,p2c
1221,133853,p2p,ARIN,APNIC,p2c
1239,10594,p2c,ARIN,ARIN,p2p
1273,5400,p2c,ARIN,RIPE,p2p
1273,15169,p2p,ARIN,ARIN,p2c
1273,32787,p2p,ARIN,ARIN,p2c
1273,33915,p2c,ARIN,RIPE,p2p
1273,59253,p2c,ARIN,APNIC,p2p
1280,394070,p2c,ARIN,ARIN,p2p
1290,25180,p2p,ARIN,RIPE,p2c
1299,2906,p2c,ARIN,ARIN,p2p
1299,4637,p2p,ARIN,APNIC,p2c
1299,4766,p2c,ARIN,APNIC,p2p
1299,5580,p2c,ARIN,RIPE,p2p
1299,6910,p2p,ARIN,RIPE,p2c
1299,7219,p2c,ARIN,ARIN,p2p
1299,7843,p2p,ARIN,ARIN,p2c
1299,9150,p2p,ARIN,RIPE,p2c
1299,12961,p2c,ARIN,RIPE,p2p
1299,15935,p2p,ARIN,RIPE,p2c
1299,15958,p2c,ARIN,RIPE,p2p
1299,16342,p2p,ARIN,RIPE,p2c
1299,22822,p2p,ARIN,ARIN,p2c
1299,25189,p2p,ARIN,RIPE,p2c
1299,29244,p2c,ARIN,RIPE,p2p
1299,36734,p2p,ARIN,ARIN,p2c
1299,42377,p2p,ARIN,RIPE,p2c
1299,42841,p2p,ARIN,RIPE,p2c
1299,42988,p2p,ARIN,RIPE,p2c
1299,59492,p2p,ARIN,RIPE,p2c
