asn1,asn2,rel_x,asn1RIR,asn2RIR,rel_y
4,38315,p2c,ARIN,APNIC,p2p
81,20197,p2p,ARIN,ARIN,p2c
174,577,p2p,ARIN,ARIN,p2c
174,812,p2c,ARIN,ARIN,p2p
174,1257,p2p,ARIN,ARIN,p2c
174,2686,p2c,ARIN,ARIN,p2p
174,4134,p2p,ARIN,ARIN,p2c
174,5400,p2p,ARIN,RIPE,p2c
174,6315,p2p,ARIN,ARIN,p2c
174,7065,p2p,ARIN,ARIN,p2c
174,7922,p2p,ARIN,ARIN,p2c
174,8896,p2c,ARIN,RIPE,p2p
174,9211,p2c,ARIN,RIPE,p2p
174,9929,p2p,ARIN,APNIC,p2c
174,12181,p2c,ARIN,ARIN,p2p
174,12578,p2p,ARIN,RIPE,p2c
174,12850,p2c,ARIN,RIPE,p2p
174,13101,p2c,ARIN,RIPE,p2p
174,13825,p2c,ARIN,ARIN,p2p
174,14477,p2p,ARIN,ARIN,p2c
174,15133,p2p,ARIN,ARIN,p2c
174,15570,p2c,ARIN,RIPE,p2p
174,17511,p2c,ARIN,APNIC,p2p
174,18804,p2p,ARIN,ARIN,p2c
174,19366,p2c,ARIN,ARIN,p2p
174,20963,p2c,ARIN,RIPE,p2p
174,21688,p2c,ARIN,ARIN,p2p
174,22995,p2c,ARIN,ARIN,p2p
174,24720,p2c,ARIN,RIPE,p2p
174,25394,p2p,ARIN,RIPE,p2c
174,28408,p2c,ARIN,LACNIC,p2p
174,29140,p2p,ARIN,RIPE,p2c
174,29222,p2p,ARIN,RIPE,p2c
174,29636,p2c,ARIN,RIPE,p2p
174,31577,p2c,ARIN,RIPE,p2p
174,34270,p2c,ARIN,RIPE,p2p
174,34660,p2c,ARIN,RIPE,p2p
174,40788,p2p,ARIN,ARIN,p2c
174,41000,p2p,ARIN,RIPE,p2c
174,41765,p2c,ARIN,RIPE,p2p
174,41811,p2c,ARIN,RIPE,p2p
174,42466,p2p,ARIN,RIPE,p2c
174,43338,p2p,ARIN,RIPE,p2c
174,43350,p2p,ARIN,RIPE,p2c
174,43541,p2c,ARIN,RIPE,p2p
174,43893,p2c,ARIN,RIPE,p2p
174,47020,p2c,ARIN,ARIN,p2p
174,51906,p2p,ARIN,RIPE,p2c
174,52863,p2c,ARIN,LACNIC,p2p
174,54519,p2c,ARIN,ARIN,p2p
174,54839,p2p,ARIN,ARIN,p2c
174,60822,p2c,ARIN,RIPE,p2p
174,61003,p2c,ARIN,RIPE,p2p
174,62563,p2p,ARIN,ARIN,p2c
174,133613,p2p,ARIN,APNIC,p2c
174,196755,p2p,ARIN,RIPE ,p2c
174,199483,p2c,ARIN,RIPE ,p2p
174,199569,p2p,ARIN,RIPE ,p2c
174,199599,p2c,ARIN,RIPE ,p2p
174,205099,p2p,ARIN,RIPE ,p2c
174,394601,p2c,ARIN,ARIN,p2p
202,29668,p2p,ARIN,RIPE,p2c
209,1436,p2c,ARIN,ARIN,p2p
209,1818,p2c,ARIN,ARIN,p2p
209,6507,p2c,ARIN,ARIN,p2p
209,12129,p2c,ARIN,ARIN,p2p
209,13331,p2c,ARIN,ARIN,p2p
209,14329,p2c,ARIN,ARIN,p2p
209,14361,p2c,ARIN,ARIN,p2p
209,14525,p2c,ARIN,ARIN,p2p
209,14793,p2c,ARIN,ARIN,p2p
209,14818,p2c,ARIN,ARIN,p2p
209,15305,p2c,ARIN,ARIN,p2p
209,16509,p2c,ARIN,ARIN,p2p
209,16657,p2c,ARIN,ARIN,p2p
209,17044,p2c,ARIN,ARIN,p2p
209,18570,p2c,ARIN,ARIN,p2p
209,19604,p2c,ARIN,ARIN,p2p
209,19747,p2c,ARIN,ARIN,p2p
209,21918,p2c,ARIN,ARIN,p2p
209,24637,p2c,ARIN,RIPE,p2p
209,25843,p2c,ARIN,ARIN,p2p
209,25921,p2c,ARIN,ARIN,p2p
209,26151,p2c,ARIN,ARIN,p2p
209,26978,p2c,ARIN,ARIN,p2p
209,27400,p2c,ARIN,ARIN,p2p
209,28502,p2c,ARIN,LACNIC,p2p
209,29748,p2c,ARIN,ARIN,p2p
209,29765,p2c,ARIN,ARIN,p2p
209,30444,p2c,ARIN,ARIN,p2p
209,30640,p2c,ARIN,ARIN,p2p
209,32806,p2c,ARIN,ARIN,p2p
209,36236,p2c,ARIN,ARIN,p2p
209,40498,p2c,ARIN,ARIN,p2p
209,60486,p2c,ARIN,RIPE,p2p
209,62887,p2c,ARIN,ARIN,p2p
209,393335,p2c,ARIN,ARIN,p2p
224,56828,p2p,ARIN,RIPE,p2c
271,33314,p2p,ARIN,ARIN,p2c
271,36000,p2p,ARIN,ARIN,p2c
271,55185,p2p,ARIN,ARIN,p2c
276,1970,p2c,ARIN,ARIN,p2p
276,3794,p2c,ARIN,ARIN,p2p
276,11481,p2c,ARIN,ARIN,p2p
276,13998,p2c,ARIN,ARIN,p2p
276,14104,p2c,ARIN,ARIN,p2p
276,16461,p2c,ARIN,ARIN,p2p
276,19856,p2c,ARIN,ARIN,p2p
276,26971,p2c,ARIN,ARIN,p2p
276,27594,p2c,ARIN,ARIN,p2p
276,32093,p2c,ARIN,ARIN,p2p
276,54933,p2c,ARIN,ARIN,p2p
286,1820,p2p,ARIN,ARIN,p2c
286,2611,p2p,ARIN,RIPE,p2c
286,7738,p2c,ARIN,ARIN,p2p
286,20940,p2p,ARIN,RIPE,p2c
286,22822,p2p,ARIN,ARIN,p2c
286,58453,p2p,ARIN,APNIC,p2c
286,196954,p2c,ARIN,RIPE ,p2p
286,197595,p2p,ARIN,RIPE ,p2c
293,513,p2p,ARIN,ARIN,p2c
293,32982,p2p,ARIN,ARIN,p2c
306,307,p2p,ARIN,ARIN,p2c
306,316,p2p,ARIN,ARIN,p2c
306,317,p2p,ARIN,ARIN,p2c
306,319,p2p,ARIN,ARIN,p2c
306,320,p2p,ARIN,ARIN,p2c
306,321,p2p,ARIN,ARIN,p2c
306,322,p2p,ARIN,ARIN,p2c
306,323,p2p,ARIN,ARIN,p2c
306,324,p2p,ARIN,ARIN,p2c
306,325,p2p,ARIN,ARIN,p2c
306,326,p2p,ARIN,ARIN,p2c
306,327,p2p,ARIN,ARIN,p2c
306,328,p2p,ARIN,ARIN,p2c
306,329,p2p,ARIN,ARIN,p2c
306,331,p2p,ARIN,ARIN,p2c
306,334,p2p,ARIN,ARIN,p2c
306,335,p2p,ARIN,ARIN,p2c
306,336,p2p,ARIN,ARIN,p2c
306,337,p2p,ARIN,ARIN,p2c
306,338,p2p,ARIN,ARIN,p2c
306,339,p2p,ARIN,ARIN,p2c
306,340,p2p,ARIN,ARIN,p2c
306,341,p2p,ARIN,ARIN,p2c
306,342,p2p,ARIN,ARIN,p2c
306,343,p2p,ARIN,ARIN,p2c
306,344,p2p,ARIN,ARIN,p2c
306,345,p2p,ARIN,ARIN,p2c
306,346,p2p,ARIN,ARIN,p2c
306,347,p2p,ARIN,ARIN,p2c
306,348,p2p,ARIN,ARIN,p2c
306,349,p2p,ARIN,ARIN,p2c
306,350,p2p,ARIN,ARIN,p2c
306,351,p2p,ARIN,ARIN,p2c
306,352,p2p,ARIN,ARIN,p2c
306,353,p2p,ARIN,ARIN,p2c
306,355,p2p,ARIN,ARIN,p2c
306,356,p2p,ARIN,ARIN,p2c
306,357,p2p,ARIN,ARIN,p2c
306,358,p2p,ARIN,ARIN,p2c
306,359,p2p,ARIN,ARIN,p2c
306,360,p2p,ARIN,ARIN,p2c
306,361,p2p,ARIN,ARIN,p2c
306,362,p2p,ARIN,ARIN,p2c
306,364,p2p,ARIN,ARIN,p2c
306,365,p2p,ARIN,ARIN,p2c
306,366,p2p,ARIN,ARIN,p2c
306,368,p2p,ARIN,ARIN,p2c
306,369,p2p,ARIN,ARIN,p2c
306,370,p2p,ARIN,ARIN,p2c
306,371,p2p,ARIN,ARIN,p2c
306,575,p2c,ARIN,ARIN,p2p
378,5585,p2p,ARIN,RIPE,p2c
553,8365,p2p,ARIN,RIPE,p2c
559,20965,p2c,ARIN,RIPE,p2p
577,32710,p2p,ARIN,ARIN,p2c
701,3292,p2p,ARIN,RIPE,p2c
701,6939,p2p,ARIN,ARIN,p2c
701,10310,p2c,ARIN,ARIN,p2p
701,10753,p2p,ARIN,ARIN,p2c
701,32095,p2p,ARIN,ARIN,p2c
701,32869,p2c,ARIN,ARIN,p2p
702,6667,p2c,ARIN,RIPE,p2p
812,4809,p2c,ARIN,APNIC,p2p
