asn1,asn2,rel_x,asn1RIR,asn2RIR,rel_y
81,20197,p2c,ARIN,ARIN,p2p
81,22753,p2c,ARIN,ARIN,p2p
174,852,p2p,ARIN,ARIN,p2c
174,1257,p2c,ARIN,ARIN,p2p
174,1668,p2c,ARIN,ARIN,p2p
174,3261,p2p,ARIN,RIPE,p2c
174,4837,p2p,ARIN,APNIC,p2c
174,6774,p2c,ARIN,RIPE,p2p
174,7219,p2c,ARIN,ARIN,p2p
174,7843,p2c,ARIN,ARIN,p2p
174,8001,p2p,ARIN,ARIN,p2c
174,8218,p2p,ARIN,RIPE,p2c
174,9505,p2p,ARIN,APNIC,p2c
174,11260,p2p,ARIN,ARIN,p2c
174,11854,p2c,ARIN,ARIN,p2p
174,12615,p2c,ARIN,RIPE,p2p
174,13816,p2c,ARIN,ARIN,p2p
174,13825,p2c,ARIN,ARIN,p2p
174,15935,p2p,ARIN,RIPE,p2c
174,16265,p2c,ARIN,RIPE,p2p
174,16347,p2p,ARIN,RIPE,p2c
174,16904,p2c,ARIN,ARIN,p2p
174,17185,p2c,ARIN,ARIN,p2p
174,20836,p2c,ARIN,RIPE,p2p
174,20857,p2c,ARIN,RIPE,p2p
174,20860,p2p,ARIN,RIPE,p2c
174,21263,p2c,ARIN,RIPE,p2p
174,22781,p2c,ARIN,ARIN,p2p
174,23127,p2c,ARIN,ARIN,p2p
174,23988,p2c,ARIN,APNIC,p2p
174,24989,p2p,ARIN,RIPE,p2c
174,25308,p2p,ARIN,RIPE,p2c
174,27552,p2c,ARIN,ARIN,p2p
174,29075,p2p,ARIN,RIPE,p2c
174,29222,p2c,ARIN,RIPE,p2p
174,29485,p2c,ARIN,RIPE,p2p
174,31027,p2c,ARIN,RIPE,p2p
174,31242,p2p,ARIN,RIPE,p2c
174,31252,p2c,ARIN,RIPE,p2p
174,31577,p2c,ARIN,RIPE,p2p
174,32899,p2c,ARIN,ARIN,p2p
174,33164,p2c,ARIN,ARIN,p2p
174,34772,p2p,ARIN,RIPE,p2c
174,36443,p2c,ARIN,ARIN,p2p
174,40702,p2c,ARIN,ARIN,p2p
174,40715,p2p,ARIN,ARIN,p2c
174,41157,p2c,ARIN,RIPE,p2p
174,42353,p2p,ARIN,RIPE,p2c
174,43646,p2p,ARIN,RIPE,p2c
174,47544,p2c,ARIN,RIPE,p2p
174,48918,p2c,ARIN,RIPE,p2p
174,49025,p2c,ARIN,RIPE,p2p
174,49909,p2c,ARIN,RIPE,p2p
174,50606,p2p,ARIN,RIPE,p2c
174,51399,p2c,ARIN,RIPE,p2p
174,54972,p2p,ARIN,ARIN,p2c
209,1668,p2c,ARIN,ARIN,p2p
209,4637,p2p,ARIN,APNIC,p2c
209,23673,p2p,ARIN,APNIC,p2c
209,35181,p2c,ARIN,RIPE,p2p
209,40498,p2p,ARIN,ARIN,p2c
237,13325,p2c,ARIN,ARIN,p2p
260,22363,p2c,ARIN,ARIN,p2p
271,25689,p2p,ARIN,ARIN,p2c
271,33314,p2p,ARIN,ARIN,p2c
271,36000,p2p,ARIN,ARIN,p2c
271,55185,p2p,ARIN,ARIN,p2c
271,62692,p2p,ARIN,ARIN,p2c
271,393966,p2p,ARIN,ARIN,p2c
286,1668,p2c,ARIN,ARIN,p2p
286,8447,p2c,ARIN,RIPE,p2p
286,29222,p2c,ARIN,RIPE,p2p
701,1668,p2c,ARIN,ARIN,p2p
701,6507,p2c,ARIN,ARIN,p2p
701,6830,p2c,ARIN,RIPE,p2p
701,7922,p2c,ARIN,ARIN,p2p
701,10933,p2c,ARIN,ARIN,p2p
701,22822,p2c,ARIN,ARIN,p2p
701,23520,p2c,ARIN,ARIN,p2p
703,23148,p2c,ARIN,ARIN,p2p
779,2089,p2p,ARIN,ARIN,p2c
1103,12315,p2c,ARIN,RIPE,p2p
1221,2687,p2c,ARIN,ARIN,p2p
1221,2823,p2c,ARIN,ARIN,p2p
1221,7543,p2c,ARIN,APNIC,p2p
1221,7575,p2c,ARIN,APNIC,p2p
1221,8075,p2c,ARIN,ARIN,p2p
1221,9426,p2c,ARIN,APNIC,p2p
1221,9547,p2c,ARIN,APNIC,p2p
1221,14294,p2c,ARIN,ARIN,p2p
1221,15133,p2c,ARIN,ARIN,p2p
1221,15169,p2p,ARIN,ARIN,p2c
1221,23197,p2p,ARIN,ARIN,p2c
1221,32934,p2c,ARIN,ARIN,p2p
1221,38172,p2p,ARIN,APNIC,p2c
1221,38561,p2c,ARIN,APNIC,p2p
1221,38622,p2c,ARIN,APNIC,p2p
1221,56065,p2p,ARIN,APNIC,p2c
1221,58511,p2c,ARIN,APNIC,p2p
1239,3292,p2c,ARIN,RIPE,p2p
1239,4739,p2c,ARIN,APNIC,p2p
1239,6130,p2c,ARIN,ARIN,p2p
1239,29968,p2c,ARIN,ARIN,p2p
1239,33154,p2p,ARIN,ARIN,p2c
1251,52992,p2p,ARIN,LACNIC,p2c
1280,24865,p2c,ARIN,RIPE,p2p
1280,33071,p2c,ARIN,ARIN,p2p
1299,1668,p2c,ARIN,ARIN,p2p
1299,3292,p2p,ARIN,RIPE,p2c
1299,6830,p2c,ARIN,RIPE,p2p
1299,12741,p2p,ARIN,RIPE,p2c
1299,15169,p2c,ARIN,ARIN,p2p
1299,16019,p2c,ARIN,RIPE,p2p
1299,16342,p2c,ARIN,RIPE,p2p
1299,20485,p2p,ARIN,RIPE,p2c
1299,27630,p2p,ARIN,ARIN,p2c
1299,34892,p2p,ARIN,RIPE,p2c
1299,42841,p2c,ARIN,RIPE,p2p
1299,50923,p2p,ARIN,RIPE,p2c
1351,11686,p2c,ARIN,ARIN,p2p
1452,6002,p2p,ARIN,ARIN,p2c
1554,1555,p2c,ARIN,ARIN,p2p
1764,48362,p2p,ARIN,RIPE,p2c
1842,5663,p2p,ARIN,ARIN,p2c
1916,264427,p2p,ARIN,LACNIC,p2c
2110,39122,p2p,RIPE,RIPE,p2c
