asn1,asn2,rel_x,asn1RIR,asn2RIR,rel_y
13,1508,p2p,ARIN,ARIN,p2c
57,14763,p2p,ARIN,ARIN,p2c
57,17234,p2p,ARIN,ARIN,p2c
57,21727,p2p,ARIN,ARIN,p2c
57,21951,p2p,ARIN,ARIN,p2c
57,26557,p2p,ARIN,ARIN,p2c
57,33692,p2p,ARIN,ARIN,p2c
174,559,p2c,ARIN,ARIN,p2p
174,1273,p2p,ARIN,ARIN,p2c
174,3326,p2p,ARIN,RIPE,p2c
174,5400,p2p,ARIN,RIPE,p2c
174,6128,p2c,ARIN,ARIN,p2p
174,7738,p2p,ARIN,ARIN,p2c
174,8495,p2c,ARIN,RIPE,p2p
174,8866,p2p,ARIN,RIPE,p2c
174,11260,p2c,ARIN,ARIN,p2p
174,11404,p2c,ARIN,ARIN,p2p
174,12133,p2c,ARIN,ARIN,p2p
174,12181,p2p,ARIN,ARIN,p2c
174,12578,p2p,ARIN,RIPE,p2c
174,13101,p2p,ARIN,RIPE,p2c
174,13647,p2c,ARIN,ARIN,p2p
174,15426,p2c,ARIN,RIPE,p2p
174,15945,p2c,ARIN,RIPE,p2p
174,15958,p2p,ARIN,RIPE,p2c
174,16128,p2c,ARIN,RIPE,p2p
174,16350,p2p,ARIN,RIPE,p2c
174,16724,p2c,ARIN,ARIN,p2p
174,16904,p2p,ARIN,ARIN,p2c
174,16908,p2p,ARIN,ARIN,p2c
174,17185,p2p,ARIN,ARIN,p2c
174,19366,p2p,ARIN,ARIN,p2c
174,21263,p2c,ARIN,RIPE,p2p
174,21949,p2c,ARIN,ARIN,p2p
174,22384,p2c,ARIN,ARIN,p2p
174,24720,p2p,ARIN,RIPE,p2c
174,24867,p2p,ARIN,RIPE,p2c
174,26962,p2p,ARIN,ARIN,p2c
174,27400,p2c,ARIN,ARIN,p2p
174,27552,p2p,ARIN,ARIN,p2c
174,29075,p2p,ARIN,RIPE,p2c
174,30162,p2c,ARIN,ARIN,p2p
174,31863,p2p,ARIN,ARIN,p2c
174,32308,p2p,ARIN,ARIN,p2c
174,34270,p2p,ARIN,RIPE,p2c
174,35916,p2p,ARIN,ARIN,p2c
174,39964,p2p,ARIN,ARIN,p2c
174,41157,p2p,ARIN,RIPE,p2c
174,41765,p2p,ARIN,RIPE,p2c
174,42466,p2c,ARIN,RIPE,p2p
174,43203,p2c,ARIN,RIPE,p2p
174,43338,p2p,ARIN,RIPE,p2c
174,43531,p2p,ARIN,RIPE,p2c
174,46195,p2p,ARIN,ARIN,p2c
174,47408,p2p,ARIN,RIPE,p2c
174,48347,p2p,ARIN,RIPE,p2c
174,48918,p2p,ARIN,RIPE,p2c
174,50673,p2c,ARIN,RIPE,p2p
174,51985,p2c,ARIN,RIPE,p2p
174,52106,p2c,ARIN,RIPE,p2p
174,53264,p2c,ARIN,ARIN,p2p
174,53332,p2c,ARIN,ARIN,p2p
174,54329,p2c,ARIN,ARIN,p2p
174,60876,p2c,ARIN,RIPE,p2p
174,133731,p2c,ARIN,APNIC,p2p
174,198682,p2c,ARIN,RIPE ,p2p
174,199569,p2c,ARIN,RIPE ,p2p
209,5078,p2c,ARIN,ARIN,p2p
209,9498,p2c,ARIN,APNIC,p2p
209,17385,p2p,ARIN,ARIN,p2c
209,26133,p2p,ARIN,ARIN,p2c
271,25689,p2c,ARIN,ARIN,p2p
271,36000,p2c,ARIN,ARIN,p2p
271,55185,p2c,ARIN,ARIN,p2p
286,35799,p2c,ARIN,RIPE,p2p
286,41695,p2c,ARIN,RIPE,p2p
286,42344,p2p,ARIN,RIPE,p2c
293,513,p2c,ARIN,ARIN,p2p
553,2857,p2p,ARIN,RIPE,p2c
553,12480,p2c,ARIN,RIPE,p2p
577,54113,p2p,ARIN,ARIN,p2c
701,2906,p2p,ARIN,ARIN,p2c
701,10310,p2c,ARIN,ARIN,p2p
701,12989,p2c,ARIN,RIPE,p2p
701,16509,p2p,ARIN,ARIN,p2c
701,16524,p2p,ARIN,ARIN,p2c
701,17151,p2p,ARIN,ARIN,p2c
701,23047,p2c,ARIN,ARIN,p2p
701,32244,p2c,ARIN,ARIN,p2p
701,32934,p2c,ARIN,ARIN,p2p
786,8851,p2p,ARIN,RIPE,p2c
812,4809,p2c,ARIN,APNIC,p2p
1136,28685,p2p,ARIN,RIPE,p2c
1221,2906,p2p,ARIN,ARIN,p2c
1221,9268,p2p,ARIN,APNIC,p2c
1221,15133,p2c,ARIN,ARIN,p2p
1221,16276,p2p,ARIN,RIPE,p2c
1221,16839,p2p,ARIN,ARIN,p2c
1221,38172,p2p,ARIN,APNIC,p2c
1221,58868,p2c,ARIN,APNIC,p2p
1221,62597,p2p,ARIN,ARIN,p2c
1239,1273,p2p,ARIN,ARIN,p2c
1239,2497,p2p,ARIN,ARIN,p2c
1239,20940,p2c,ARIN,RIPE,p2p
1239,29968,p2p,ARIN,ARIN,p2c
1257,14907,p2c,ARIN,ARIN,p2p
1267,196753,p2c,ARIN,RIPE ,p2p
1273,6774,p2c,ARIN,RIPE,p2p
1273,8966,p2c,ARIN,RIPE,p2p
1273,9009,p2c,ARIN,RIPE,p2p
1273,15169,p2c,ARIN,ARIN,p2p
1273,59253,p2p,ARIN,APNIC,p2c
1273,133752,p2p,ARIN,APNIC,p2c
1280,33071,p2p,ARIN,ARIN,p2c
1299,2107,p2p,ARIN,RIPE ,p2c
1299,3292,p2c,ARIN,RIPE,p2p
1299,4459,p2c,ARIN,ARIN,p2p
1299,4766,p2p,ARIN,APNIC,p2c
1299,6667,p2p,ARIN,RIPE,p2c
1299,7029,p2c,ARIN,ARIN,p2p
1299,7342,p2p,ARIN,ARIN,p2c
1299,7713,p2c,ARIN,APNIC,p2p
1299,8220,p2p,ARIN,RIPE,p2c
1299,9150,p2c,ARIN,RIPE,p2p
1299,12570,p2c,ARIN,RIPE,p2p
1299,12586,p2c,ARIN,RIPE,p2p
1299,12754,p2p,ARIN,RIPE,p2c
1299,12880,p2c,ARIN,RIPE,p2p
1299,12961,p2p,ARIN,RIPE,p2c
1299,13480,p2c,ARIN,ARIN,p2p
