nTransaction,ms
20,1041.9348919987679
30,887.9122909903526
40,886.075630992651
50,875.5724009871483
60,864.4272439777851
70,876.453321993351
80,868.6636309921741
90,862.1297610104084
100,865.9866530001163
110,857.3101600110531
120,864.3033879995346
130,878.0715599954128
140,872.8613300025463
150,859.6671569943428
160,860.6621930003166
170,889.2556349933147
180,872.0182639956474
190,859.232981979847
200,875.685182005167
210,875.9678649902344
220,864.0863710045815
230,862.9720939993858
240,869.072870016098
250,865.9077959954739
260,882.583075016737
270,864.9931349754333
280,873.5531149804592
290,876.5505740046501
300,874.0554260015488
310,862.8766129910946
320,868.2652859985828
330,878.3632690012455
340,873.9075669944286
350,902.0047329962254
360,861.7444950044155
370,888.2783230245113
380,876.9385470151901
390,896.9555289745331
400,900.5895110070705
410,876.0887799859047
420,888.153588026762
430,872.2421820163727
440,890.2131659984589
450,891.268287986517
460,887.6181919872761
470,884.0816790163517
480,895.8339299857616
490,908.7850730121136
500,890.4332019984722
510,888.1601060032845
520,889.3894109725952
530,897.7307739853859
540,913.9620540142059
550,904.8328399956226
560,894.098760008812
570,914.3444280028343
580,905.9431009888649
590,895.0618800222874
600,919.2382899820805
610,905.1216620206833
620,898.023598998785
630,908.4642880260944
640,902.0797460079193
650,916.5628260076046
660,913.1581279933453
670,906.9389059841633
680,928.3158879876137
690,905.4457010030746
700,920.2716799974442
710,923.072546005249
720,912.9739370048046
730,926.4230569899082
740,915.4344830214977
750,923.8018650114536
760,921.3644079864025
770,920.754106014967
780,915.9507380127907
790,927.0533289909363
800,920.8943070173264
810,948.1441940069199
820,918.2082419991493
830,935.2949550151825
840,923.0159900188446
850,921.0197660028934
860,957.5798159837723
870,940.0902889966965
880,929.6899629831314
890,935.1174599826336
900,953.2863890230656
910,945.903185993433
920,951.0321419835091
930,942.4248059988022
940,936.4843609929085
950,947.2165500223637
960,948.3217220008373
970,933.7951169908047
980,949.6206469833851
990,941.0956420004368
1000,935.491367995739
1010,956.4040000140667
1020,960.2451019883156
1030,960.3433589935303
1040,952.9507380127907
1050,949.5715479850769
1060,958.3625719845295
1070,959.2421489953995
1080,953.0851880013943
1090,955.6633280217648
1100,953.7059830129147
1110,958.4766049981117
1120,979.7991999983788
1130,967.6602959930897
1140,961.868232011795
1150,960.7911619842052
1160,967.6046580076218
1170,958.1922940015793
1180,969.0373319983482
1190,976.9949240088463
1200,977.1144619882107
1210,965.9297360181808
1220,976.0102680027485
1230,980.2821810245514
1240,972.3459659814835
1250,983.0812409818172
1260,978.280257999897
1270,965.2966060042381
1280,987.7536370158195
1290,976.4763319790363
1300,1004.9309159815311
1310,979.1648570001125
1320,988.8023769855499
1330,980.7568440139294
1340,990.7907649874687
1350,982.6710189878941
1360,981.9642139971256
1370,985.9247130155563
1380,988.3042089939117
1390,985.2725290060043
1400,995.5998239815235
1410,1004.5872839987278
1420,1004.9433289766312
1430,994.3462390005589
1440,1022.1298649907112
1450,992.0958479940891
1460,1002.3646949827671
1470,994.2903420031071
1480,1005.6170519888401
1490,981.8024800121784
1500,948.6862469911575
1510,1013.2876679897308
1520,1016.2091220021248
1530,1005.7715239822865
1540,1023.3391959965229
1550,1008.1108129918575
1560,1009.1388469934464
1570,1029.7136699855328
1580,1008.1461130082607
1590,1020.7432380020618
1600,1023.6571300029755
1610,1022.1626519858837
1620,1042.536444991827
1630,1022.6857690215111
1640,1038.8225000202656
1650,1031.0452759861946
1660,1023.1756770014763
1670,1026.8474830091
1680,984.1866120100021
1690,982.5631359815598
1700,1017.7911979854107
1710,1011.4167679846287
1720,977.2551269829273
1730,1042.3412330150604
1740,1021.1450589895248
1750,1008.2385529875755
1760,979.0609399974346
1770,1024.7919410169125
1780,1041.4393700063229
1790,991.5561829805374
1800,1049.6728599965572
1810,1033.731320977211
1820,1057.0751029849052
1830,1027.1996679902077
1840,975.5136920213699
1850,1046.62311398983
1860,1044.918360978365
1870,1054.6133190095425
1880,970.6960769891739
1890,1061.7045029997826
1900,1063.7043679952621
1910,1042.0116699934006
1920,1010.4699630141258
1930,1041.3473889827728
1940,1065.1568289995193
1950,983.3185180127621
1960,1066.5529140233994
1970,1068.1948219835758
1980,1066.9837850034237
1990,1052.6808280050755
2000,1008.7317180037498
2010,1046.0146040022373
2020,1073.70513099432
2030,1055.1177349984646
2040,998.8278540074825
2050,1081.4407530128956
2060,1053.724763005972
2070,1070.6004039943218
2080,1040.447248995304
2090,1019.065131008625
2100,1075.91584700346
2110,994.9456939995289
2120,1092.491772979498
2130,1077.1229420006275
2140,1093.0657060146332
2150,1058.1625509858131
2160,1001.9495570063591
2170,1085.5599739849567
2180,1096.599996984005
2190,994.6769129931927
2200,1103.433780014515
2210,1086.595575004816
2220,1081.3228689730167
2230,1058.0419829785824
2240,1034.9144879877567
2250,1092.0154740214348
2260,1030.4945880174637
2270,1114.8583660125732
2280,1093.684634000063
2290,1085.3916220068932
2300,1094.952419012785
2310,1016.204959988594
2320,1114.7092939913273
2330,1103.6788490116596
2340,1045.709006011486
2350,1064.5978630185127
2360,1084.1441949903965
2370,1060.1148290038109
2380,1112.4328060150146
2390,1090.4162499904633
2400,1094.1658639907837
2410,1075.0129660069942
2420,1067.4846539795399
2430,1017.3348949849606
2440,1108.7421909868717
2450,1032.0758990049362
2460,1116.2867740094662
2470,1115.1994990110397
2480,1063.4970539808273
2490,1066.3367799818516
2500,1113.5590620040894
2510,1035.580003976822
2520,1141.1313659846783
2530,1119.406350016594
2540,1092.5128659904003
2550,1085.5343210101128
2560,1129.902652978897
2570,1141.442793995142
2580,1135.7707670032978
2590,1046.822592973709
2600,1147.1751810014248
2610,1124.7322020232677
2620,1045.1715349853039
2630,1153.3980700075626
2640,1142.821711987257
2650,1048.5998690128326
2660,1156.606054008007
2670,1091.8189959824085
2680,1114.2632780075073
2690,1151.881733983755
2700,1119.991925984621
2710,1085.1265490055084
2720,1152.1319909989834
2730,1064.4114300012589
2740,1155.0206959843636
2750,1150.7804600000381
2760,1165.9630469977856
2770,1095.8959610164165
2780,1144.9932129979134
2790,1156.8093860149384
2800,1074.405369013548
2810,1172.0817449986935
2820,1149.2414390146732
2830,1079.8755939900875
2840,1169.2926200032234
2850,1187.0731810033321
2860,1141.9928019940853
2870,1086.2988120019436
2880,1165.0582599937916
2890,1176.657752007246
2900,1070.2281939983368
2910,1190.1572349965572
2920,1184.7583680152893
2930,1196.721650004387
2940,1078.45247900486
2950,1157.7534129917622
2960,1175.3457530140877
2970,1086.491925984621
2980,1185.2393150031567
2990,1175.8238210082054
3000,1084.8550050258636
3010,1199.6393280029297
3020,1181.7359060049057
3030,1175.8463340103626
3040,1109.2282230257988
3050,1089.460895985365
3060,1201.9670070111752
3070,1197.0625860095024
3080,1089.8652929961681
3090,1203.088438987732
3100,1114.841271996498
3110,1221.916156977415
3120,1210.0197350084782
3130,1097.8155080080032
3140,1209.5319020152092
3150,1145.7479160130024
3160,1150.3441249728203
3170,1090.2712709903717
3180,1208.9963679909706
3190,1238.942853987217
3200,1082.4457310140133
3210,1210.5323169827461
3220,1114.0034850239754
3230,1224.8525000214577
3240,3486.1619690060616
3250,1600.3449089825153
3260,1484.2431479990482
3270,1640.4710319936275
3280,1651.2644450068474
3290,1474.3166980147362
3300,1575.664398998022
3310,1591.0806359946728
3320,1484.5420809984207
3330,1597.5456109941006
3340,1639.4455139935017
3350,1517.8860569894314
3360,1639.8117779791355
3370,1535.0751480162144
